profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
beginner,rl_based,1,false,60,600,73.4,3,0,5,2,1.9,0,6,13,47.06,78.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,2,true,32.45,324,0,11,1,5,5,5.86,4,8,12,21.34,65.76,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,3,false,60,601,11.2,13,0,5,0,2.46,0,5,15,28,46.66,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,4,false,60,601,29.6,10,0,5,0,2.3,0,6,15,44.26,73.77,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,5,true,57.5,574,0,12,1,5,2,2.75,0,7,17,10.53,18.32,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,6,true,35.4,353,0,13,1,5,6,5.31,4,7,11,8.53,24.1,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,7,false,60,600,21.2,9,0,5,0,2.65,0,6,13,14.01,23.35,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,8,false,60,600,24.1,10,0,5,1,3.52,1,5,14,24.36,40.61,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,9,true,28,279,0,13,1,5,1,4.13,1,5,10,13.87,49.52,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,10,true,38.35,383,0,16,1,5,4,2.1,0,5,9,17.6,45.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,11,false,60,601,31.7,11,0,5,1,1.77,0,5,14,32.27,53.78,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,12,false,60,601,24.8,10,0,5,3,3.49,2,5,14,34.13,56.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,13,true,48.93,489,0,16,1,5,1,2.17,0,5,12,24.93,50.95,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,14,true,21.15,211,0,11,1,5,3,5.25,3,7,10,9.2,43.5,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,15,false,60,601,25.5,10,0,5,1,2.15,0,5,14,30.4,50.66,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,16,true,42.37,423,0,13,1,5,4,3.77,1,6,13,25.33,59.79,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,17,true,19.22,192,0,11,1,5,3,5.76,3,7,8,5.73,29.83,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,18,false,60,599,39,8,0,5,2,3.44,2,5,13,41.2,68.66,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,19,false,60,601,45.7,7,0,5,2,2.76,1,6,13,42.53,70.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,20,false,60,601,10.8,12,0,5,1,2.43,0,6,14,31.6,52.66,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,21,true,25.05,250,0,12,1,5,7,5.09,4,7,8,14.27,56.95,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,22,false,60,601,3.4,14,0,5,1,2.52,0,6,16,34.53,57.55,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,23,true,41.98,419,0,15,1,5,0,2.72,0,7,11,22,52.4,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,24,true,26.95,269,0,10,1,5,7,7.02,5,8,8,7.87,29.19,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,25,true,28.87,288,0,11,1,5,6,5.5,4,7,9,8.8,30.48,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,26,true,36.83,368,0,12,1,5,1,4.81,1,7,12,18.4,49.95,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,27,false,60,601,39.4,11,0,5,1,1.33,0,5,12,36.66,61.11,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,28,true,20.88,208,0,10,1,5,7,6.87,5,9,8,6.27,30.01,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,29,false,60,601,24.3,11,0,5,1,2.33,0,6,14,41.6,69.33,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,30,false,60,601,30.6,11,0,5,2,2.48,0,6,13,32.93,54.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
