profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
improving,rl_based,1,false,60,601,44.9,7,0,5,1,2.24,0,6,16,45.48,75.8,130,0.7,0.28,0.45,120,0.55,0.6,0.2
improving,rl_based,2,false,60,601,36.8,9,0,5,0,2.68,0,5,13,50.53,84.22,132.24,0.68,0.3,0.44,124.83,0.56,0.61,0.21
improving,rl_based,3,true,53.25,532,0,13,1,5,0,3.73,0,6,15,18.93,35.56,134.48,0.67,0.32,0.42,129.66,0.58,0.62,0.21
improving,rl_based,4,true,25.6,255,0,10,1,5,4,6.07,4,8,9,11.07,43.23,136.72,0.65,0.34,0.41,134.48,0.59,0.63,0.22
improving,rl_based,5,true,53.6,535,0,13,1,5,2,3.73,2,5,13,25.2,47.01,138.97,0.63,0.36,0.4,139.31,0.61,0.63,0.23
improving,rl_based,6,false,60,601,30.4,8,0,5,0,3.68,0,6,15,49.2,82,141.21,0.61,0.38,0.38,144.14,0.62,0.64,0.23
improving,rl_based,7,true,48.78,487,0,11,1,5,9,5.93,4,9,14,22.27,45.64,143.45,0.6,0.4,0.37,148.97,0.63,0.65,0.24
improving,rl_based,8,true,48.43,484,0,13,1,5,3,4.09,3,6,14,24.17,49.9,145.69,0.58,0.42,0.36,153.79,0.65,0.66,0.25
improving,rl_based,9,false,60,599,19.9,8,0,5,3,5.94,3,8,16,34.95,58.24,147.93,0.56,0.44,0.34,158.62,0.66,0.67,0.26
improving,rl_based,10,true,50.75,507,0,16,1,5,0,2.12,0,5,13,19.33,38.09,150.17,0.54,0.46,0.33,163.45,0.67,0.68,0.26
improving,rl_based,11,true,52.47,524,0,15,1,5,0,2.73,0,6,13,19.2,36.59,152.41,0.53,0.48,0.32,168.28,0.69,0.69,0.27
improving,rl_based,12,false,60,601,0.1,12,0,5,0,3.69,0,6,15,13.87,23.11,154.66,0.51,0.5,0.3,173.1,0.7,0.69,0.28
improving,rl_based,13,false,60,601,24.2,8,0,5,2,3.62,0,7,13,36.26,60.44,156.9,0.49,0.52,0.29,177.93,0.72,0.7,0.28
improving,rl_based,14,false,60,599,62.3,5,0,5,1,1.54,0,6,14,46.01,76.68,159.14,0.48,0.54,0.28,182.76,0.73,0.71,0.29
improving,rl_based,15,false,60,599,17.5,9,0,5,4,5.1,3,7,15,20.4,34,161.38,0.46,0.56,0.26,187.59,0.74,0.72,0.3
improving,rl_based,16,false,60,601,14.5,10,0,5,3,4.35,3,6,16,40.93,68.22,163.62,0.44,0.57,0.25,192.41,0.76,0.73,0.3
improving,rl_based,17,false,60,601,3.4,11,0,5,4,4.92,3,7,15,25.33,42.22,165.86,0.42,0.59,0.23,197.24,0.77,0.74,0.31
improving,rl_based,18,false,60,601,56.4,5,0,5,1,2.56,0,6,14,52.66,87.77,168.1,0.41,0.61,0.22,202.07,0.78,0.75,0.32
improving,rl_based,19,false,60,601,8.1,12,0,5,0,2.43,0,6,15,19.33,32.22,170.34,0.39,0.63,0.21,206.9,0.8,0.76,0.32
improving,rl_based,20,false,60,599,57.1,5,0,5,0,2.93,0,6,13,47.73,79.55,172.59,0.37,0.65,0.19,211.72,0.81,0.76,0.33
improving,rl_based,21,false,60,601,18,9,0,5,0,4.49,0,7,15,19.73,32.89,174.83,0.36,0.67,0.18,216.55,0.83,0.77,0.34
improving,rl_based,22,false,60,599,17.6,9,0,5,5,5.12,3,7,14,26.13,43.55,177.07,0.34,0.69,0.17,221.38,0.84,0.78,0.34
improving,rl_based,23,false,60,601,52.7,5,0,5,1,2.33,0,7,14,54.53,90.88,179.31,0.32,0.71,0.15,226.21,0.85,0.79,0.35
improving,rl_based,24,false,60,601,44.6,6,0,5,1,3.66,1,7,14,49.86,83.11,181.55,0.3,0.73,0.14,231.03,0.87,0.8,0.36
improving,rl_based,25,false,60,599,58.5,5,0,5,3,3.81,2,6,14,43.47,72.45,183.79,0.29,0.75,0.13,235.86,0.88,0.81,0.37
improving,rl_based,26,false,60,601,100,0,0,5,1,2.57,1,6,12,0,0,186.03,0.27,0.77,0.11,240.69,0.89,0.82,0.37
improving,rl_based,27,false,60,601,48.9,6,0,5,0,3.44,0,6,15,49.2,82,188.28,0.25,0.79,0.1,245.52,0.91,0.82,0.38
improving,rl_based,28,false,60,599,64.5,4,0,5,2,3.13,1,6,15,44.26,73.77,190.52,0.23,0.81,0.09,250.34,0.92,0.83,0.39
improving,rl_based,29,false,60,601,49.3,6,0,5,1,2.82,0,6,12,50.12,83.54,192.76,0.22,0.83,0.07,255.17,0.94,0.84,0.39
improving,rl_based,30,false,60,599,92.2,1,0,5,1,1.54,0,5,12,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
