profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
inconsistent,rl_based,1,false,60,600,33.2,10,0,5,0,1.65,0,6,15,46.94,78.23,171.68,0.6,0.68,0.19,150.16,0.87,0.82,0.27
inconsistent,rl_based,2,true,17.75,177,0,9,1,5,7,7.01,5,9,8,5.07,28.54,161.27,0.51,0.48,0.11,145.34,0.76,0.65,0.21
inconsistent,rl_based,3,true,15.23,152,0,10,1,5,5,6.92,5,9,8,5.2,34.14,140.59,0.65,0.77,0.08,214.22,0.79,0.63,0.35
inconsistent,rl_based,4,true,51.48,514,0,14,1,5,1,2.91,0,7,12,23.73,46.1,162.39,0.63,0.7,0.25,209.87,0.76,0.65,0.43
inconsistent,rl_based,5,true,46.95,469,0,11,1,5,4,5.64,4,7,11,23.47,49.98,174.69,0.53,0.82,0.14,167.8,0.64,0.77,0.26
inconsistent,rl_based,6,false,60,599,70.2,4,0,5,2,2.57,1,5,13,34.14,56.9,161.8,0.57,0.82,0.08,204.95,0.81,0.78,0.31
inconsistent,rl_based,7,true,23.68,236,0,9,1,5,6,7.09,5,8,7,8.53,36.03,135.16,0.47,0.66,0.31,206.83,0.67,0.73,0.35
inconsistent,rl_based,8,false,60,601,41.3,6,0,5,0,3.87,0,7,13,46.53,77.55,141.48,0.54,0.43,0.29,176.94,0.76,0.79,0.21
inconsistent,rl_based,9,false,60,601,40.3,9,0,5,0,2.52,0,6,13,38.8,64.66,171.79,0.54,0.56,0.27,207.61,0.89,0.68,0.35
inconsistent,rl_based,10,false,60,599,65.2,4,0,5,0,2.32,0,6,13,47.74,79.57,188.57,0.23,0.79,0.31,225.72,0.76,0.63,0.24
inconsistent,rl_based,11,true,48.15,481,0,13,1,5,4,4.45,3,6,15,19.47,40.43,141.8,0.41,0.72,0.33,190.29,0.73,0.73,0.35
inconsistent,rl_based,12,false,60,601,8.1,9,0,5,1,4.16,0,8,16,23.2,38.66,153.07,0.61,0.7,0.2,234.95,0.7,0.66,0.44
inconsistent,rl_based,13,false,60,599,60.5,4,0,5,2,3.71,1,7,13,54.95,91.58,185.38,0.53,0.49,0.35,220.13,0.93,0.7,0.38
inconsistent,rl_based,14,false,60,601,40.4,8,0,5,3,3.13,2,5,14,45.46,75.77,151.25,0.35,0.66,0.18,188.71,0.9,0.65,0.22
inconsistent,rl_based,15,false,60,601,26.2,10,0,5,1,3.01,0,5,14,34.13,56.89,190.72,0.61,0.84,0.33,155.13,0.85,0.67,0.29
inconsistent,rl_based,16,false,60,599,20.8,9,0,5,1,3.38,0,7,14,16.14,26.9,194.05,0.31,0.46,0.21,255.91,0.77,0.68,0.33
inconsistent,rl_based,17,true,41.6,415,0,11,1,5,4,5.2,3,8,11,13.33,32.05,170.73,0.51,0.68,0.22,175.5,0.81,0.65,0.39
inconsistent,rl_based,18,true,34.85,348,0,10,1,5,4,6.31,4,8,11,12.4,35.58,153.76,0.34,0.47,0.36,243.56,0.87,0.68,0.35
inconsistent,rl_based,19,true,30.93,309,0,11,1,5,7,6.19,4,8,8,13.2,42.67,163,0.58,0.58,0.15,193.68,0.8,0.69,0.45
inconsistent,rl_based,20,true,30.88,308,0,10,1,5,3,6.51,3,9,10,6.13,19.86,192.42,0.39,0.49,0.2,230.18,0.73,0.72,0.42
inconsistent,rl_based,21,false,60,601,30,8,0,5,1,3.72,0,7,16,50.4,84,160.27,0.47,0.55,0.18,199.53,0.71,0.82,0.38
inconsistent,rl_based,22,true,27.57,275,0,12,1,5,3,5.25,3,7,10,6.4,23.22,180.13,0.58,0.37,0.16,241.18,0.67,0.66,0.31
inconsistent,rl_based,23,false,60,599,31.4,8,0,5,0,2.42,0,7,15,55.07,91.79,187.61,0.33,0.36,0.36,162.83,0.89,0.71,0.33
inconsistent,rl_based,24,false,60,601,16.3,11,0,5,5,3.53,2,5,16,43.2,72,160.13,0.55,0.37,0.37,257.05,0.77,0.77,0.25
inconsistent,rl_based,25,false,60,599,73.7,4,0,5,0,1.92,0,5,13,38.66,64.44,177.36,0.32,0.78,0.29,183.07,0.86,0.75,0.22
inconsistent,rl_based,26,false,60,601,84.4,2,0,5,2,3.33,2,5,13,0,0,163.69,0.24,0.62,0.1,225.76,0.71,0.7,0.4
inconsistent,rl_based,27,false,60,601,11.3,11,0,5,0,3.57,0,6,15,19.47,32.44,141.53,0.37,0.52,0.36,173.32,0.65,0.82,0.32
inconsistent,rl_based,28,true,37.13,371,0,17,1,5,2,1.71,1,5,11,21.47,57.81,147.59,0.58,0.41,0.16,160.87,0.71,0.79,0.34
inconsistent,rl_based,29,true,42.23,422,0,11,1,5,5,5.78,4,8,12,8.8,20.84,137.26,0.37,0.66,0.17,153.55,0.82,0.79,0.28
inconsistent,rl_based,30,false,60,599,7.3,9,0,5,0,3.19,0,8,15,16.13,26.89,181.95,0.33,0.58,0.19,212.91,0.84,0.64,0.39
