profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,rl_based,1,false,60,599,5.1,9,0,5,2,5.19,2,8,15,11.21,18.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,2,false,60,601,78,3,0,5,2,2.47,0,5,13,24.53,40.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,3,false,60,601,37.9,8,0,5,2,2.88,0,6,15,52.27,87.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,4,false,60,601,65.2,5,0,5,0,2.14,0,5,13,44.4,74,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,5,false,60,601,51.8,6,0,5,1,3.46,1,6,14,48.93,81.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,6,false,60,601,32.1,8,0,5,1,2.37,0,6,14,50.26,83.77,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,7,false,60,599,84.4,2,0,5,0,2.42,0,5,13,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,8,false,60,601,92.2,1,0,5,0,1.87,0,5,13,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,9,false,60,599,68.4,4,0,5,4,2.8,0,6,13,36.54,60.9,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,10,false,60,599,91.5,1,0,5,1,3.36,0,6,12,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,11,false,60,601,64.9,4,0,5,0,2.69,0,6,13,43.46,72.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,12,false,60,601,70.2,4,0,5,3,3.64,2,6,12,37.2,62,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,13,false,60,601,68.8,4,0,5,1,1.62,0,5,12,52.4,87.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,14,false,60,599,5.4,10,0,5,1,3.62,0,8,14,17.2,28.67,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,15,false,60,601,15.5,8,0,5,5,4.84,3,8,14,4.27,7.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,16,false,60,599,52.7,5,0,5,0,3.56,0,7,13,37.21,62.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,17,false,60,601,24.4,9,0,5,0,3.35,0,6,15,32.67,54.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,18,false,60,601,70.9,4,0,5,0,1.08,0,5,13,51.06,85.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,19,false,60,601,46,6,0,5,3,4.4,2,7,14,16.8,28,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,20,true,37.28,372,0,10,1,5,3,6.01,3,8,12,14,37.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,21,false,60,601,51,7,0,5,1,1.04,0,5,16,50.13,83.55,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,22,false,60,599,47.1,6,0,5,0,3.17,0,6,13,44.27,73.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,23,false,60,601,47.1,6,0,5,3,4.29,3,7,14,12.27,20.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,24,false,60,601,42.9,7,0,5,1,3.54,1,6,14,50.53,84.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,25,true,52.37,523,0,10,1,5,5,5.95,4,8,12,17.07,32.59,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,26,false,60,599,85.1,2,0,5,1,2.38,1,5,12,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,27,false,60,599,17.7,8,0,5,1,5.25,1,8,14,21.73,36.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,28,true,31.25,312,0,10,1,5,6,6.43,5,8,11,10,32,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,29,false,60,601,50.5,5,0,5,3,3.72,2,7,14,48,80,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,30,true,39.93,399,0,10,1,5,3,5.95,3,8,12,14,35.06,170,0.3,0.65,0.15,220,0.85,0.75,0.35
