profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
skilled,rl_based,1,false,60,600,25,8,0,5,1,4.72,1,7,14,16,26.67,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,2,false,60,601,72.3,3,0,5,1,3.04,1,6,12,35.46,59.11,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,3,false,60,601,84.4,2,0,5,1,1.01,0,5,12,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,4,false,60,601,37.2,7,0,5,1,3,0,6,14,50,83.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,5,false,60,599,46.8,6,0,5,1,3.78,1,6,14,50.41,84.02,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,6,true,29.07,290,0,9,1,5,6,7.5,5,9,7,10.13,34.86,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,7,false,60,601,13.5,10,0,5,0,3.22,0,6,13,15.87,26.44,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,8,false,60,599,28.3,8,0,5,2,5.03,2,7,13,24.4,40.66,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,9,false,60,601,84.4,2,0,5,4,3.67,2,6,13,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,10,true,31.35,313,0,10,1,5,8,6.26,4,9,9,6.13,19.56,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,11,true,35.97,359,0,11,1,5,4,5.83,4,7,11,20.93,58.2,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,12,false,60,599,92.2,1,0,5,0,1.52,0,5,13,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,13,false,60,601,55.3,5,0,5,4,3.89,2,6,13,8.13,13.55,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,14,false,60,601,0.5,11,0,5,1,4.04,1,7,14,11.6,19.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,15,false,60,599,58.9,5,0,5,1,2.19,0,5,12,50.27,83.79,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,16,false,60,601,68.8,4,0,5,1,2.83,1,5,12,38.53,64.22,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,17,false,60,601,7.3,10,0,5,0,3.79,0,6,15,23.6,39.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,18,true,29.03,290,0,10,1,5,7,6.11,4,8,8,8.13,28.01,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,19,false,60,601,92.9,1,0,5,1,2.01,0,5,12,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,20,false,60,601,92.2,1,0,5,0,2.08,0,5,13,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,21,false,60,599,69.5,4,0,5,1,1.8,0,5,12,44,73.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,22,true,26.52,265,0,10,1,5,6,6.88,5,9,9,9.47,35.7,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,23,false,60,601,42.4,6,0,5,2,4.02,1,7,15,40.26,67.11,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,24,true,27.53,275,0,11,1,5,3,5.93,3,8,10,9.73,35.35,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,25,true,47.83,478,0,11,1,5,4,5.54,4,7,15,21.6,45.15,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,26,false,60,601,57.8,5,0,5,0,3.16,0,6,13,42.4,70.66,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,27,false,60,601,49.8,5,0,5,4,4.71,2,8,13,44.95,74.91,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,28,true,29.17,291,0,9,1,5,7,7.36,5,9,10,11.33,38.86,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,29,false,60,601,92.2,1,0,5,3,2.12,0,5,12,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,30,false,60,601,72.3,3,0,5,0,3.13,0,6,13,44.66,74.44,195,0.2,0.85,0.06,260,0.95,0.85,0.4
