profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,rl_based,1,false,60,600,15,10,0,5,4,4.93,4,5,1,40.32,67.19,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,2,false,60,600,23.5,9,0,5,4,4.76,4,5,1,35.98,59.97,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,3,false,60,600,14.9,10,0,5,4,4.67,4,6,3,22.41,37.35,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,4,false,60,600,27.7,9,0,5,2,3.86,2,5,3,22.81,38.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,5,false,60,600,41.9,7,0,5,4,4.34,4,5,1,43.64,72.74,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,6,false,60,600,15.7,10,0,5,3,4.6,3,5,2,25.27,42.12,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,7,false,60,600,6.5,11,0,5,5,5,5,5,0,42.83,71.39,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,8,false,60,600,25.6,9,0,5,2,4.02,2,5,3,32.31,53.86,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,9,false,60,600,12.8,11,0,5,4,4.08,4,5,1,30.8,51.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,10,false,60,600,40.5,7,0,5,5,5,5,5,0,52.04,86.74,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,11,false,60,600,49,6,0,5,5,5,5,5,0,28.01,46.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,12,false,60,600,32,8,0,5,5,5,5,5,0,39.87,66.45,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,13,false,60,599,15,10,0,5,2,3.94,2,5,3,22.13,36.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,14,false,60,600,7.3,10,0,5,6,5.58,5,6,1,17.21,28.68,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,15,false,60,600,17.1,10,0,5,3,4.18,3,5,2,23.07,38.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,16,false,60,600,32,8,0,5,5,5,5,5,0,33.73,56.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,17,false,60,600,6.5,11,0,5,4,4.93,4,5,1,24.83,41.38,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,18,true,50.07,500,0,10,1,5,7,5.89,5,7,2,10.69,21.36,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,19,false,60,600,49,6,0,5,5,5,5,5,0,46.15,76.92,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,20,true,55.42,554,0,12,1,5,5,5,5,5,0,32.14,58,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,21,false,60,600,24.3,8,0,5,6,5.58,5,6,1,23.48,39.13,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,22,false,60,600,15,10,0,5,5,5,5,5,0,47.1,78.51,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,23,true,54.47,544,0,12,1,5,5,5,5,5,0,30.16,55.38,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,24,false,60,600,32,8,0,5,5,5,5,5,0,44.94,74.9,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,25,false,60,600,27,9,0,5,4,4.17,4,5,1,42.42,70.69,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,26,false,60,600,23.5,9,0,5,5,5,5,5,0,49.22,82.03,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,27,true,45.2,451,0,12,1,5,5,5,5,5,0,18.81,41.61,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,28,false,60,600,46.8,6,0,5,5,5.08,5,6,2,30.03,50.06,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,29,false,60,601,23.5,9,0,5,5,5,5,5,0,36.99,61.65,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,30,false,60,600,40.5,7,0,5,5,5,5,5,0,27.21,45.35,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,31,false,60,600,15,10,0,5,5,5,5,5,0,45.38,75.64,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,32,false,60,600,23.5,9,0,5,5,5,5,5,0,43.34,72.23,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,33,true,58.22,582,0,12,1,5,4,4.96,4,5,1,19.34,33.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,34,false,60,600,49,6,0,5,5,5,5,5,0,44.41,74.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,35,true,51.08,510,0,12,1,5,5,5,5,5,0,29.07,56.9,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,36,false,60,600,32,8,0,5,5,5,5,5,0,51.11,85.18,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,37,false,60,600,6.5,11,0,5,4,4.93,4,5,1,19.76,32.93,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,38,true,37.85,378,0,12,1,5,5,5,5,5,0,18.54,48.99,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,39,false,60,600,32,8,0,5,5,5,5,5,0,40.43,67.39,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,40,false,60,600,58.2,5,0,5,4,4.34,4,5,1,42.17,70.29,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,41,false,60,600,6.5,11,0,5,3,4.6,3,5,2,23.87,39.79,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,42,false,60,600,41.2,7,0,5,4,4.42,4,5,1,45.22,75.36,170,0.3,0.65,0.15,220,0.85,0.75,0.35
