profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
beginner,rl_based,1,false,60,601,76.5,4,0,1,2,0.85,0,2,19,0.8,1.33,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,2,true,16.38,163,0,8,1,10,10,9.06,8,10,6,4.14,25.28,185.46,0.29,0.47,0.07,163.1,0.79,0.73,0.27
beginner,rl_based,3,true,18.17,181,0,9,1,6,8,7.8,6,9,6,5.6,30.82,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,4,true,44.35,443,0,9,1,0,9,4.23,0,10,15,5.47,12.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,5,false,60,599,38.6,7,0,5,7,5.03,4,7,20,38.53,64.22,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,6,true,36.17,361,0,11,1,6,6,5.65,5,7,12,9.87,27.28,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,7,true,52.67,526,0,11,1,3,10,6.1,3,10,17,34.15,64.84,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,8,true,12.42,124,0,8,1,10,8,9.16,8,10,4,7.2,57.99,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,9,false,60,599,54.9,6,0,0,4,3.26,0,6,20,39.47,65.78,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,10,false,60,601,80.8,2,0,7,1,3.9,1,7,20,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,11,true,17.4,174,0,8,1,8,8,9.41,8,10,6,7.73,44.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,12,true,56.3,562,0,10,1,5,9,5.72,3,9,18,21.87,38.84,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,13,true,17.65,176,0,8,1,9,7,8.58,7,10,6,4.8,27.19,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,14,true,45.32,453,0,10,1,4,9,5.79,3,9,15,19.47,42.96,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,15,true,53.1,530,0,11,1,5,9,6.16,4,9,18,20.53,38.67,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,16,true,14.35,143,0,8,1,9,8,9.38,8,10,5,8.4,58.53,178.68,0.49,0.53,0.22,248.43,0.71,0.84,0.42
skilled,rl_based,17,true,24.35,243,0,9,1,5,9,7.73,5,9,8,11.87,48.73,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,18,true,45.42,454,0,11,1,7,8,6.13,4,8,15,29.6,65.18,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,19,true,43.97,439,0,10,1,2,9,5.7,2,10,15,16.94,38.53,149.21,0.52,0.45,0.38,188.58,0.62,0.69,0.28
inconsistent,rl_based,20,false,60,601,83.6,3,0,0,1,1.04,0,2,19,0,0,141.02,0.49,0.59,0.15,249.74,0.87,0.82,0.43
intermediate,rl_based,21,false,60,600,15.9,10,0,2,4,4.83,2,7,20,39.47,65.78,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,22,true,29.32,293,0,10,1,6,8,6.62,5,9,10,17.6,60.03,144.07,0.23,0.77,0.34,181.22,0.76,0.83,0.2
intermediate,rl_based,23,false,60,601,82.2,3,0,0,4,1.61,0,4,20,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,24,true,18.07,180,0,9,1,10,8,7.84,7,10,6,6.67,36.9,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,25,true,19.75,197,0,8,1,7,8,8.78,7,10,7,7.33,37.13,189.82,0.56,0.78,0.15,199.09,0.6,0.77,0.2
skilled,rl_based,26,false,60,601,82.2,3,0,1,4,1.74,0,4,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,27,true,26.73,267,0,9,1,7,10,8.1,7,10,9,8.67,32.44,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,28,true,59.73,597,0,17,1,5,3,1.72,0,5,18,33.73,56.47,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,29,true,46.88,468,0,11,1,7,6,6.2,4,8,15,18.4,39.25,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,30,true,17.98,179,0,8,1,6,8,8.54,6,10,6,8.8,48.93,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,31,true,31.8,317,0,10,1,3,8,6.5,3,8,11,4.8,15.09,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,32,false,60,599,92.9,1,0,3,1,1.52,0,4,20,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,33,false,60,600,100,0,0,1,2,0.96,0,2,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,34,true,40.75,407,0,13,1,6,0,3.24,0,7,14,15.6,38.28,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,35,false,60,601,3.8,17,0,5,1,1.39,0,5,18,22.27,37.11,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,36,true,54.92,549,0,18,1,2,0,0.85,0,2,18,23.07,42,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,37,false,60,601,72.3,4,0,3,3,3.1,2,4,20,37.33,62.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,38,true,23.62,236,0,9,1,8,10,8.41,7,10,8,8.27,35,171.19,0.28,0.41,0.21,218.12,0.65,0.61,0.28
inconsistent,rl_based,39,false,60,600,92.9,1,0,6,1,1.78,0,6,19,0,0,193.6,0.33,0.7,0.18,208.64,0.9,0.7,0.38
skilled,rl_based,40,false,60,601,71.2,3,0,7,1,2.94,0,7,20,53.73,89.55,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,41,false,60,601,3.6,10,0,7,3,5.17,3,8,20,14.93,24.89,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,42,false,60,601,72.3,3,0,8,4,3.3,1,8,20,46.66,77.77,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,43,false,60,600,49.5,8,0,4,3,1.94,0,4,19,38.42,64.03,180.71,0.52,0.82,0.21,203.53,0.75,0.64,0.26
intermediate,rl_based,44,true,10.12,101,0,8,1,10,9,9.37,9,10,3,6,59.31,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,45,true,16.7,167,0,9,1,8,8,8.18,7,9,6,7.47,44.71,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,46,true,17.57,175,0,9,1,6,8,7.8,6,9,6,4.93,28.08,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,47,false,60,601,68.8,4,0,3,0,2.05,0,5,19,49.2,82,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,48,false,60,599,77.3,3,0,4,4,3.38,2,5,20,34.81,58.01,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,49,true,17.47,174,0,9,1,10,6,7.62,6,10,6,8.4,48.09,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,50,false,60,601,92.9,1,0,2,2,1.69,0,3,20,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,51,false,60,600,35.9,11,0,3,2,1.28,0,4,19,27.47,45.78,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,52,false,60,600,54.5,7,0,3,0,1.5,0,4,19,49.65,82.75,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,53,false,60,601,43.2,8,0,3,1,2.57,1,4,20,45.2,75.33,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,54,false,60,601,65.9,4,0,7,1,3.4,0,8,20,38.26,63.77,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,55,false,60,601,100,0,0,1,1,1.51,0,3,20,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,56,false,60,599,11.1,8,0,5,7,5.87,2,9,20,13.74,22.9,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,57,true,54.93,549,0,15,1,5,1,2.54,0,6,18,21.33,38.83,170.92,0.35,0.61,0.21,174.66,0.73,0.74,0.33
beginner,rl_based,58,false,60,601,30.9,12,0,2,2,1.26,0,3,20,44.66,74.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,59,false,60,601,52.3,5,0,3,3,4.87,3,8,20,25.33,42.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,60,true,23.38,233,0,9,1,9,7,8.38,7,10,8,14.42,61.66,191.55,0.38,0.54,0.33,178.86,0.75,0.79,0.3
beginner,rl_based,61,false,60,601,8.8,11,0,2,6,5.07,2,8,20,38.53,64.22,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,62,false,60,601,50.5,5,0,7,3,4.66,2,8,20,53.86,89.77,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,63,true,49.07,490,0,11,1,6,6,5.09,3,7,16,26.13,53.26,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,64,false,60,599,36.7,10,0,3,4,1.93,0,5,19,38.27,63.79,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,65,false,60,600,71.2,3,0,0,4,2.95,0,7,20,3.33,5.56,146.18,0.23,0.52,0.27,254.83,0.78,0.78,0.3
skilled,rl_based,66,false,60,601,92.2,1,0,3,0,1.18,0,4,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,67,false,60,599,52.5,6,0,4,2,3.76,2,5,20,39.2,65.33,158.8,0.3,0.47,0.37,247.19,0.67,0.7,0.35
skilled,rl_based,68,true,17.5,175,0,8,1,10,6,8.44,6,10,6,6,34.28,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,69,false,60,601,31,6,0,9,1,4.57,1,10,20,54.26,90.44,147.96,0.49,0.66,0.16,183.39,0.7,0.65,0.42
beginner,rl_based,70,true,13.35,133,0,9,1,10,7,8.46,7,10,5,7.33,54.93,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,71,true,44.87,448,0,17,1,2,1,2.03,0,4,15,17.86,39.81,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,72,true,10.98,109,0,8,1,10,10,9.44,9,10,4,4.27,38.85,155.57,0.2,0.51,0.16,253.68,0.61,0.65,0.2
beginner,rl_based,73,true,30.45,304,0,10,1,8,6,6.52,5,8,10,15.47,50.81,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,74,false,60,601,7.5,15,0,7,0,1.91,0,7,19,20.67,34.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,75,true,23.57,235,0,8,1,8,8,8.04,6,10,8,3.87,16.41,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,76,false,60,601,86.5,2,0,1,3,2.26,0,4,20,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,77,false,60,600,100,0,0,1,2,0.84,0,2,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,78,false,60,599,19.8,11,0,5,1,2.66,0,5,20,30.8,51.33,175.34,0.48,0.4,0.08,160.54,0.82,0.73,0.41
skilled,rl_based,79,true,15.53,155,0,9,1,8,9,8.6,7,10,5,6.53,42.06,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,80,true,16.33,163,0,11,1,9,6,6.41,5,9,5,5.87,35.92,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,81,true,49.83,498,0,10,1,10,0,4.91,0,10,16,10.27,20.6,144.09,0.58,0.38,0.07,217,0.83,0.64,0.41
intermediate,rl_based,82,false,60,601,78,3,0,7,0,2.59,0,7,19,43.86,73.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,83,true,58.95,589,0,10,1,6,9,5.78,4,9,19,52.66,89.34,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,84,false,60,600,41.1,8,0,4,1,1.87,0,5,19,48.13,80.22,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,85,true,45.92,459,0,12,1,9,4,4.21,1,9,15,28.53,62.14,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,86,false,60,599,48.6,6,0,6,2,2.74,0,6,20,48.27,80.45,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,87,false,60,599,92.2,1,0,4,1,1.66,0,5,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,88,true,40.52,405,0,9,1,6,5,6.69,4,9,13,10.27,25.34,156.03,0.62,0.66,0.34,240.57,0.7,0.64,0.35
beginner,rl_based,89,false,60,601,28.4,9,0,5,1,3.09,0,5,20,27.86,46.43,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,90,false,60,599,14.7,9,0,6,4,5.47,3,7,20,34.4,57.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,91,false,60,601,100,0,0,0,1,1,0,3,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,92,true,13.97,139,0,8,1,8,9,9.49,8,10,5,6.8,48.68,168.35,0.35,0.43,0.16,194.2,0.65,0.82,0.25
inconsistent,rl_based,93,false,60,601,69.5,4,0,4,1,1.62,0,5,19,42.13,70.22,150.65,0.26,0.54,0.25,249.57,0.63,0.68,0.29
skilled,rl_based,94,false,60,600,85.1,2,0,5,0,2.46,0,6,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,95,false,60,601,26.9,7,0,9,3,4.26,1,9,20,39.2,65.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,96,false,60,601,81.5,3,0,1,4,2.1,0,5,19,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,97,false,60,601,58.7,5,0,8,3,2.03,0,8,19,55.06,91.77,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,98,false,60,600,57.7,5,0,6,1,2.84,0,7,19,46.02,76.7,140.98,0.59,0.84,0.19,148.73,0.93,0.74,0.43
inconsistent,rl_based,99,false,60,601,36.7,10,0,1,0,1.51,0,3,19,35.07,58.44,187.21,0.34,0.49,0.34,212.76,0.66,0.67,0.44
inconsistent,rl_based,100,false,60,599,72.2,5,0,1,0,0.59,0,2,19,35.74,59.57,193.1,0.27,0.38,0.26,170.26,0.62,0.69,0.38
skilled,rl_based,101,false,60,601,45.7,6,0,6,1,3.63,0,7,19,39.33,65.55,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,102,true,59.12,591,0,14,1,7,0,2.48,0,7,19,23.87,40.38,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,103,false,60,599,83,2,0,6,1,2.41,0,6,19,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
