profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
inconsistent,rl_based,1,false,60,600,8.8,11,0,3,4,3.98,2,7,19,16.54,27.56,163.16,0.64,0.52,0.1,217.46,0.79,0.7,0.35
inconsistent,rl_based,2,false,60,601,67.3,5,0,3,0,2.12,0,4,15,7.33,12.22,161.22,0.3,0.37,0.39,151.7,0.83,0.76,0.41
skilled,rl_based,3,false,60,599,71.2,3,0,7,2,2.89,0,7,15,47.74,79.57,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,4,false,60,600,34.8,8,0,7,4,4.26,2,7,15,39.22,65.37,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,5,false,60,600,72.3,3,0,7,3,2.71,0,7,14,42.24,70.39,184.25,0.64,0.85,0.07,182.23,0.65,0.7,0.44
skilled,rl_based,6,true,17.43,174,0,8,1,7,10,9.09,7,10,5,8.56,49.12,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,7,false,60,600,83.7,2,0,4,5,3.84,2,5,13,0,0,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,8,false,60,600,24.4,10,0,4,4,3.93,1,6,16,26.72,44.53,158.89,0.45,0.5,0.19,192.49,0.68,0.63,0.2
inconsistent,rl_based,9,true,44.97,449,0,10,1,4,9,5.76,4,9,11,27.9,62.05,150.58,0.25,0.72,0.12,161.65,0.86,0.69,0.34
intermediate,rl_based,10,false,60,600,73,4,0,4,0,2.53,0,4,12,45.22,75.36,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,11,true,31.3,312,0,10,1,7,6,6.48,5,9,11,20.14,64.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,12,true,32,319,0,10,1,3,9,5.62,2,9,12,6.92,21.64,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,13,false,60,599,23.1,13,0,5,0,2.07,0,5,13,30.75,51.25,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,14,true,21.8,218,0,10,1,6,7,6.94,6,8,7,7.92,36.33,175.57,0.6,0.81,0.35,239.47,0.61,0.62,0.43
beginner,rl_based,15,true,19.83,198,0,10,1,5,7,6.43,4,9,8,10.58,53.33,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,16,true,38.43,384,0,10,1,7,8,6.24,5,8,11,5.54,14.42,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,17,true,13.03,130,0,8,1,7,9,9.08,7,10,6,4.34,33.28,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,18,false,60,600,71.6,4,0,5,2,1.65,0,5,13,28.55,47.59,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,19,true,22.98,229,0,9,1,6,8,8.13,6,10,8,14.78,64.29,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,20,true,25.7,256,0,9,1,7,9,7.76,7,9,8,17.09,66.49,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,21,true,17.95,179,0,9,1,7,9,8.64,7,10,6,6.56,36.56,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,22,true,37.02,370,0,10,1,4,5,5.88,4,7,11,23.31,62.97,188.59,0.46,0.56,0.07,209.46,0.9,0.74,0.31
skilled,rl_based,23,false,60,600,31.4,6,0,7,1,4.5,0,9,14,54.6,91.01,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,24,true,36.77,367,0,11,1,3,6,5.94,3,8,11,18,48.96,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,25,true,31.95,319,0,10,1,7,9,6.99,5,9,10,21.13,66.14,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,26,false,60,600,30.9,12,0,3,3,1.33,0,3,14,45.58,75.96,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,27,true,23.12,231,0,11,1,6,5,5.81,5,7,7,5.75,24.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,28,true,53.42,534,0,10,1,6,7,5.97,4,8,13,7.05,13.2,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,29,true,23.43,234,0,10,1,6,8,5.72,4,9,10,7.26,30.99,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,30,false,60,600,74.1,3,0,4,1,2.97,1,6,13,39.94,66.56,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,31,true,19.53,195,0,9,1,7,9,8.22,7,9,6,7.11,36.42,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,32,true,57.83,578,0,11,1,6,7,5.48,3,9,17,32.99,57.05,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,33,false,60,599,85.1,2,0,5,2,1.42,0,5,13,0,0,185.51,0.27,0.79,0.28,205.48,0.63,0.74,0.4
skilled,rl_based,34,true,42.22,422,0,10,1,4,10,5.99,3,10,12,5.17,12.24,195,0.2,0.85,0.06,260,0.95,0.85,0.4
beginner,rl_based,35,true,16.02,160,0,9,1,7,7,7.25,6,9,6,4.95,30.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,36,true,25.7,256,0,9,1,6,5,6.66,5,9,9,6.36,24.76,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,37,true,39.72,397,0,9,1,7,8,6.93,5,9,11,24.42,61.48,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,38,true,28.05,280,0,9,1,7,7,8.29,7,10,8,11.69,41.66,192.65,0.57,0.52,0.22,181.74,0.83,0.77,0.21
beginner,rl_based,39,true,21.17,211,0,9,1,7,8,8.83,7,10,9,4.4,20.79,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,40,false,60,601,12.1,11,0,5,4,3.86,3,6,15,28.27,47.11,150.45,0.45,0.47,0.37,184.14,0.77,0.67,0.26
intermediate,rl_based,41,false,60,601,45.3,6,0,4,2,5.16,2,7,14,28.4,47.33,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,42,true,37.47,374,0,10,1,7,6,5.9,4,8,11,11.47,30.6,153.8,0.51,0.53,0.15,185.56,0.79,0.77,0.38
beginner,rl_based,43,false,60,601,6.6,11,0,6,2,3.84,2,7,16,32.93,54.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,44,true,32.75,327,0,9,1,6,10,7.13,6,10,8,24.95,76.18,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,45,true,41.02,410,0,10,1,5,8,6.77,4,9,11,14.93,36.41,141.11,0.5,0.58,0.1,185.93,0.8,0.65,0.33
intermediate,rl_based,46,false,60,601,45,7,0,4,7,3.96,2,7,13,30.53,50.89,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,47,true,39.87,398,0,16,1,4,4,2.31,1,4,12,24.53,61.54,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,48,true,29.18,291,0,11,1,5,9,6.94,5,9,8,10.8,37.01,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,49,false,60,601,30.8,8,0,6,2,4.64,2,6,14,50.13,83.55,154.26,0.49,0.64,0.31,198.25,0.61,0.76,0.27
skilled,rl_based,50,true,39.27,392,0,9,1,4,9,5.89,3,10,11,7.6,19.35,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,51,false,60,599,72.3,4,0,3,0,0.98,0,4,13,49.07,81.79,163.97,0.21,0.58,0.34,222.53,0.94,0.79,0.34
beginner,rl_based,52,true,15.93,159,0,9,1,7,7,7.46,7,9,8,5.74,36.01,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,53,false,60,601,71.6,4,0,3,0,2.32,0,4,13,32.53,54.22,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,54,false,60,601,43,10,0,3,2,1.18,0,3,13,50.13,83.55,144.22,0.64,0.7,0.29,160.59,0.82,0.72,0.28
skilled,rl_based,55,true,19.1,191,0,9,1,6,9,8.65,6,10,5,6.8,35.6,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,56,true,36.92,369,0,10,1,5,5,6.57,5,8,10,6.8,18.42,168.69,0.46,0.66,0.07,253.81,0.82,0.64,0.26
beginner,rl_based,57,true,21.58,215,0,11,1,5,7,6.19,4,8,8,9.07,42.01,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,58,false,60,601,1.3,11,0,6,2,5.18,2,7,16,26.13,43.55,180.73,0.23,0.49,0.17,158.11,0.62,0.76,0.29
beginner,rl_based,59,true,28.23,282,0,12,1,5,7,5.26,4,7,8,11.48,40.65,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,60,true,34.25,342,0,10,1,7,8,6.7,5,8,9,19.61,57.25,170,0.3,0.65,0.15,220,0.85,0.75,0.35
