profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
inconsistent,rl_based,1,true,42.9,428,0,11,1,5,6,6,5,7,5,18.94,44.15,150.64,0.31,0.59,0.15,234.46,0.64,0.64,0.23
inconsistent,rl_based,2,true,53.92,539,0,11,1,5,6,5.91,4,7,7,29.78,55.23,148.28,0.4,0.5,0.13,239.59,0.87,0.75,0.36
beginner,rl_based,3,true,28.63,286,0,11,1,5,6,5.47,5,6,3,8.74,30.54,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,4,true,43.35,433,0,12,1,5,5,5.35,5,6,6,23.31,53.77,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,5,false,60,599,51.1,6,0,5,4,4.09,3,5,5,38.26,63.76,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,6,false,60,600,58.2,5,0,5,2,4.11,2,5,5,30.07,50.12,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,7,false,60,599,1,11,0,5,6,5.5,5,6,7,14.39,23.98,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,8,false,60,600,1.8,10,0,5,6,6.09,5,7,5,14.46,24.11,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,9,false,60,599,10.7,11,0,5,5,4.75,4,6,6,31.77,52.96,141.83,0.55,0.69,0.33,153.89,0.86,0.74,0.31
inconsistent,rl_based,10,true,41.73,417,0,15,1,5,1,2.82,1,5,4,18.78,44.99,155.66,0.38,0.41,0.18,185.66,0.86,0.71,0.38
inconsistent,rl_based,11,true,46.98,469,0,12,1,5,7,4.74,4,7,6,23.34,49.68,167.16,0.57,0.61,0.07,155.66,0.61,0.84,0.31
skilled,rl_based,12,false,60,600,57.5,5,0,5,0,2.69,0,5,5,46.38,77.31,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,13,false,60,600,53.9,6,0,5,3,3.76,3,5,6,33.68,56.14,154.17,0.37,0.55,0.13,233.66,0.91,0.83,0.41
inconsistent,rl_based,14,true,49.08,490,0,11,1,5,7,5.66,5,7,4,32.08,65.36,193.01,0.63,0.45,0.37,200.88,0.65,0.77,0.25
intermediate,rl_based,15,true,45.62,456,0,11,1,5,6,6,5,7,7,15.17,33.25,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,16,true,48.6,485,0,13,1,5,3,3.94,3,5,6,23.88,49.14,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,17,true,47.9,478,0,12,1,5,5,5.1,5,6,2,17.95,37.47,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,18,false,60,600,7.6,10,0,5,6,5.49,4,7,7,17.75,29.58,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,19,true,36.92,369,0,9,1,5,9,7.09,5,9,6,15.17,41.08,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,20,true,34.12,341,0,11,1,5,6,6.15,5,7,5,17.53,51.39,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,21,true,46.48,464,0,13,1,5,8,5.06,4,8,7,8.02,17.26,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,22,false,60,600,8.5,11,0,5,4,4.84,4,6,7,28.18,46.97,159.38,0.34,0.78,0.17,239.24,0.83,0.75,0.27
inconsistent,rl_based,23,true,32.33,323,0,11,1,5,6,6,5,7,3,7.18,22.21,162.96,0.38,0.51,0.18,162.04,0.72,0.63,0.32
inconsistent,rl_based,24,false,60,600,26.9,10,0,5,2,3.18,1,5,7,47.92,79.86,159.55,0.27,0.46,0.39,226.23,0.75,0.83,0.25
beginner,rl_based,25,true,29.47,294,0,11,1,5,7,5.79,5,7,2,14.32,48.61,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,26,false,60,600,5.6,13,0,5,0,2.53,0,5,7,22.56,37.6,190.48,0.6,0.52,0.08,183.4,0.62,0.66,0.44
beginner,rl_based,27,true,55.4,553,0,14,1,5,1,3.28,1,5,4,21.22,38.31,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,28,false,60,600,17,10,0,5,5,4.83,3,7,10,42.17,70.28,160.92,0.42,0.38,0.35,255.14,0.75,0.76,0.35
beginner,rl_based,29,true,41.28,412,0,13,1,5,2,4.21,2,5,5,20.8,50.39,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,30,false,60,600,22.7,9,0,5,3,4.69,3,6,8,22.59,37.64,168.63,0.59,0.58,0.21,198.6,0.82,0.66,0.45
intermediate,rl_based,31,false,60,600,68.1,4,0,5,1,2.09,0,5,8,46.99,78.31,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,32,true,31,309,0,12,1,5,6,5.35,5,6,5,13.95,44.98,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,33,true,43.03,430,0,12,1,5,4,5.42,4,6,3,12.45,28.92,168.23,0.5,0.64,0.3,170.78,0.65,0.85,0.37
skilled,rl_based,34,false,60,600,67.4,4,0,5,0,2.95,0,5,7,46.76,77.94,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,35,true,49.6,495,0,10,1,5,5,6.43,5,8,8,24.16,48.71,184.42,0.36,0.54,0.06,169.81,0.63,0.78,0.34
inconsistent,rl_based,36,false,60,600,30.5,9,0,5,3,3.34,2,5,8,47.72,79.53,145.18,0.58,0.82,0.21,259.88,0.64,0.71,0.42
intermediate,rl_based,37,true,49.07,490,0,11,1,5,9,5.9,4,9,8,26,52.99,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,38,true,53.98,539,0,14,1,5,2,3.5,2,5,5,19.53,36.19,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,39,true,43.92,439,0,12,1,5,6,5.31,4,7,5,25.65,58.41,142.32,0.2,0.59,0.29,197.92,0.68,0.72,0.41
beginner,rl_based,40,false,60,600,62.3,6,0,5,0,1.69,0,5,5,40.13,66.88,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,41,true,40.6,405,0,11,1,5,3,5.87,3,7,6,24.3,59.85,181.2,0.53,0.39,0.22,194.6,0.92,0.67,0.35
beginner,rl_based,42,true,41.22,412,0,16,1,5,0,2.34,0,5,5,18.05,43.8,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,43,false,60,600,65.6,4,0,5,1,2.6,0,6,10,42.76,71.26,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,44,true,37.97,379,0,11,1,5,7,5.8,5,7,4,18.58,48.94,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,45,false,60,600,51.1,6,0,5,1,2.77,0,5,10,49.88,83.13,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,46,false,60,600,25.5,9,0,5,4,4.59,3,6,7,27.87,46.45,164.82,0.4,0.36,0.26,231.18,0.63,0.78,0.28
inconsistent,rl_based,47,false,60,599,2.1,11,0,5,6,5.41,5,6,7,13,21.67,181.37,0.37,0.65,0.13,233.95,0.86,0.71,0.43
intermediate,rl_based,48,false,60,599,2.8,11,0,5,4,5.1,4,6,9,19.72,32.87,170,0.3,0.65,0.15,220,0.85,0.75,0.35
inconsistent,rl_based,49,false,60,600,42.5,8,0,5,0,2.19,0,5,7,48.51,80.86,178.3,0.32,0.5,0.14,223.72,0.68,0.74,0.44
inconsistent,rl_based,50,false,60,600,4.8,14,0,5,2,2.34,1,5,7,28.31,47.18,180.41,0.58,0.81,0.19,161.78,0.8,0.68,0.31
beginner,rl_based,51,true,24.53,245,0,14,1,5,3,3.62,3,5,2,11.13,45.38,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,52,true,33.62,336,0,11,1,5,7,5.8,5,7,4,12.21,36.31,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rl_based,53,true,21.68,216,0,10,1,5,6,6,5,7,3,3.14,14.47,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,54,true,39.75,397,0,10,1,5,9,6.7,5,9,4,17.05,42.89,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,55,false,60,599,83.7,2,0,5,4,3.58,2,5,7,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,56,false,60,600,51.1,6,0,5,4,4,3,5,9,42.26,70.44,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,57,false,60,600,31.2,8,0,5,3,4.69,3,6,8,40.08,66.8,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,58,false,60,600,60.3,5,0,5,1,2.52,1,5,6,47.8,79.66,148.67,0.2,0.61,0.19,234.41,0.88,0.85,0.31
inconsistent,rl_based,59,false,60,600,11.3,10,0,5,0,3.45,0,6,9,12.96,21.61,161.53,0.29,0.79,0.18,202.92,0.9,0.61,0.35
beginner,rl_based,60,true,55.22,552,0,12,1,5,2,4.57,2,6,7,9.67,17.51,130,0.7,0.28,0.45,120,0.55,0.6,0.2
inconsistent,rl_based,61,false,60,600,51,7,0,5,1,2.94,1,5,8,32.97,54.94,194.47,0.6,0.55,0.18,184.94,0.77,0.82,0.44
skilled,rl_based,62,false,60,600,92.2,1,0,5,2,3.35,2,5,5,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rl_based,63,false,60,600,100,0,0,5,1,1.42,0,5,8,0,0,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,64,false,60,600,14.9,11,0,5,3,3.93,3,5,6,32.92,54.86,139.06,0.63,0.47,0.34,255,0.75,0.73,0.44
beginner,rl_based,65,true,41.72,417,0,12,1,5,5,4.88,4,6,6,18.42,44.15,130,0.7,0.28,0.45,120,0.55,0.6,0.2
skilled,rl_based,66,false,60,600,29.8,8,0,5,5,4.83,4,6,8,43.56,72.61,195,0.2,0.85,0.06,260,0.95,0.85,0.4
inconsistent,rl_based,67,false,60,600,63.8,4,0,5,3,3.42,1,6,8,49.03,81.72,147.02,0.3,0.67,0.17,225.31,0.78,0.72,0.32
beginner,rl_based,68,true,33.87,338,0,14,1,5,4,3.7,3,5,5,15.88,46.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
intermediate,rl_based,69,true,42.32,423,0,12,1,5,5,5.24,4,6,8,18.27,43.18,170,0.3,0.65,0.15,220,0.85,0.75,0.35
skilled,rl_based,70,false,60,600,75.2,3,0,5,1,3.62,1,5,8,41.04,68.39,195,0.2,0.85,0.06,260,0.95,0.85,0.4
intermediate,rl_based,71,false,60,600,10.7,11,0,5,4,3.83,2,5,9,39.12,65.2,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,rl_based,72,true,33.77,337,0,10,1,5,6,6.15,5,7,5,16.73,49.53,170,0.3,0.65,0.15,220,0.85,0.75,0.35
beginner,rl_based,73,false,60,600,33.9,10,0,5,0,2.03,0,5,5,47.57,79.28,130,0.7,0.28,0.45,120,0.55,0.6,0.2
