profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
beginner,rule_based,1,false,60,600,4.3,12,0,5,1,4.21,1,5,4,28.77,47.95,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,2,false,60,600,4.3,12,0,5,1,4.22,1,5,4,30.67,51.11,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,3,false,60,600,15.7,10,0,5,3,4.78,3,5,2,40.33,67.22,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,4,true,36.33,363,0,13,1,5,1,4.08,1,5,4,11.42,31.42,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,5,true,29.5,294,0,12,1,5,4,4.86,4,5,1,11.83,40.11,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,6,true,22.5,224,0,12,1,5,4,4.9,4,5,1,11.83,52.59,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,7,true,47.83,478,0,13,1,5,2,4.55,2,5,3,18.83,39.37,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,8,true,53.17,531,0,13,1,5,3,4.82,3,5,2,28.25,53.13,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,9,false,60,600,19.2,10,0,5,0,3.81,0,5,5,35.67,59.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,10,true,35.42,354,0,13,1,5,3,4.58,3,5,2,17.42,49.18,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,11,true,50.92,509,0,13,1,5,0,3.99,0,5,5,20.5,40.26,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,12,false,60,600,23.5,9,0,5,0,3.81,0,5,5,25.92,43.19,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,13,true,57.92,579,0,13,1,5,3,4.84,3,5,2,34.58,59.71,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,14,true,33,329,0,13,1,5,1,3.77,1,5,4,11.17,33.84,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,15,false,60,600,11.4,11,0,5,0,3.81,0,5,5,23.67,39.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,16,false,60,600,4.3,12,0,5,1,4.21,1,5,4,35.75,59.58,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,17,true,36.17,361,0,12,1,5,4,4.98,4,5,1,15.42,42.63,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,18,true,51.42,514,0,13,1,5,2,4.67,2,5,3,32.17,62.56,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,19,true,30.67,306,0,13,1,5,2,4.49,2,5,3,12.08,39.4,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,20,true,57.83,578,0,13,1,5,1,4.34,1,5,4,23.25,40.2,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,21,true,22,219,0,12,1,5,4,4.92,4,5,1,11.67,53.03,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,22,false,60,600,17.8,10,0,5,0,2.96,0,5,5,20.58,34.31,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,23,true,58.17,581,0,13,1,5,0,3.93,0,5,5,30.75,52.87,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,24,true,48.08,480,0,13,1,5,0,3.7,0,5,5,15.83,32.93,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,25,true,41.25,412,0,12,1,5,3,4.85,3,5,2,23.08,55.96,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,26,true,45.25,452,0,12,1,5,3,4.69,3,5,2,25.25,55.8,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,27,false,60,600,0.8,12,0,5,0,2.96,0,5,5,20.33,33.89,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,28,true,37.33,373,0,13,1,5,3,4.77,3,5,2,18.08,48.44,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,29,true,37.33,373,0,13,1,5,1,4,1,5,4,18.92,50.67,130,0.7,0.28,0.45,120,0.55,0.6,0.2
beginner,rule_based,30,true,28.33,283,0,12,1,5,4,4.9,4,5,1,14,49.41,130,0.7,0.28,0.45,120,0.55,0.6,0.2
