profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
improving,rule_based,1,true,36.33,363,0,13,1,5,2,4.48,2,5,3,14.98,41.22,130,0.7,0.28,0.45,120,0.55,0.6,0.2
improving,rule_based,2,true,45,450,0,12,1,5,4,4.89,4,5,1,20.74,46.09,132.24,0.68,0.3,0.44,124.83,0.56,0.61,0.21
improving,rule_based,3,true,43.75,437,0,13,1,5,1,3.97,1,5,4,24.16,55.23,134.48,0.67,0.32,0.42,129.66,0.58,0.62,0.21
improving,rule_based,4,false,60,600,1.5,12,0,5,1,4.17,1,5,4,32.16,53.6,136.72,0.65,0.34,0.41,134.48,0.59,0.63,0.22
improving,rule_based,5,true,58.33,583,0,12,1,5,3,4.81,3,5,2,33.92,58.14,138.97,0.63,0.36,0.4,139.31,0.61,0.63,0.23
improving,rule_based,6,true,34.17,341,0,13,1,5,2,4.21,2,5,3,14.62,42.78,141.21,0.61,0.38,0.38,144.14,0.62,0.64,0.23
improving,rule_based,7,true,57.42,574,0,13,1,5,1,4.31,1,5,4,31.43,54.74,143.45,0.6,0.4,0.37,148.97,0.63,0.65,0.24
improving,rule_based,8,true,57.08,570,0,14,1,5,0,3.06,0,5,5,19.97,34.99,145.69,0.58,0.42,0.36,153.79,0.65,0.66,0.25
improving,rule_based,9,true,52,520,0,13,1,5,0,2.88,0,5,5,9,17.31,147.93,0.56,0.44,0.34,158.62,0.66,0.67,0.26
improving,rule_based,10,true,44.33,443,0,12,1,5,3,4.69,3,5,2,20.6,46.46,150.17,0.54,0.46,0.33,163.45,0.67,0.68,0.26
improving,rule_based,11,true,50.08,500,0,13,1,5,0,3.99,0,5,5,13.91,27.76,152.41,0.53,0.48,0.32,168.28,0.69,0.69,0.27
improving,rule_based,12,false,60,600,15,10,0,5,4,4.92,4,5,1,43.51,72.51,154.66,0.51,0.5,0.3,173.1,0.7,0.69,0.28
improving,rule_based,13,true,38.58,385,0,11,1,5,5,5.39,5,6,2,8.07,20.92,156.9,0.49,0.52,0.29,177.93,0.72,0.7,0.28
improving,rule_based,14,false,60,600,0.8,12,0,5,2,4.5,2,5,3,32.09,53.48,159.14,0.48,0.54,0.28,182.76,0.73,0.71,0.29
improving,rule_based,15,false,60,600,16.4,10,0,5,2,4.5,2,5,3,32.57,54.28,161.38,0.46,0.56,0.26,187.59,0.74,0.72,0.3
improving,rule_based,16,false,60,600,23.5,9,0,5,2,4.5,2,5,3,25.25,42.09,163.62,0.44,0.57,0.25,192.41,0.76,0.73,0.3
improving,rule_based,17,true,51.75,517,0,10,1,5,6,6.1,5,8,5,7.83,15.13,165.86,0.42,0.59,0.23,197.24,0.77,0.74,0.31
improving,rule_based,18,false,60,600,23.5,9,0,5,1,4.17,1,5,4,21.42,35.71,168.1,0.41,0.61,0.22,202.07,0.78,0.75,0.32
improving,rule_based,19,false,60,600,15,10,0,5,0,3.33,0,5,5,19.77,32.95,170.34,0.39,0.63,0.21,206.9,0.8,0.76,0.32
improving,rule_based,20,false,60,600,15,10,0,5,3,4.75,3,5,2,29.98,49.97,172.59,0.37,0.65,0.19,211.72,0.81,0.76,0.33
improving,rule_based,21,false,60,600,57.5,5,0,5,5,5,5,5,0,35.23,58.71,174.83,0.36,0.67,0.18,216.55,0.83,0.77,0.34
improving,rule_based,22,false,60,600,40.5,7,0,5,5,5,5,5,0,41.47,69.11,177.07,0.34,0.69,0.17,221.38,0.84,0.78,0.34
improving,rule_based,23,false,60,600,23.5,9,0,5,1,4.17,1,5,4,33.98,56.63,179.31,0.32,0.71,0.15,226.21,0.85,0.79,0.35
improving,rule_based,24,false,60,600,10.7,11,0,5,1,4.17,1,5,4,40.57,67.62,181.55,0.3,0.73,0.14,231.03,0.87,0.8,0.36
improving,rule_based,25,true,58.83,588,0,11,1,5,5,5.51,5,6,2,24.56,41.75,183.79,0.29,0.75,0.13,235.86,0.88,0.81,0.37
improving,rule_based,26,true,56.83,568,0,10,1,5,7,6.38,5,8,4,14.56,25.62,186.03,0.27,0.77,0.11,240.69,0.89,0.82,0.37
improving,rule_based,27,false,60,600,15,10,0,5,4,4.92,4,5,1,39.16,65.26,188.28,0.25,0.79,0.1,245.52,0.91,0.82,0.38
improving,rule_based,28,false,60,600,40.5,7,0,5,5,5,5,5,0,38.98,64.97,190.52,0.23,0.81,0.09,250.34,0.92,0.83,0.39
improving,rule_based,29,false,60,600,23.5,9,0,5,1,4.17,1,5,4,27.5,45.83,192.76,0.22,0.83,0.07,255.17,0.94,0.84,0.39
improving,rule_based,30,false,60,600,23.5,9,0,5,0,3.75,0,5,5,24.77,41.28,195,0.2,0.85,0.06,260,0.95,0.85,0.4
