profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
inconsistent,rule_based,1,false,60,600,15.7,10,0,5,3,4.77,3,5,2,42.01,70.01,194.3,0.54,0.5,0.4,179.42,0.89,0.61,0.25
inconsistent,rule_based,2,false,60,600,40.5,7,0,5,5,5,5,5,0,43.17,71.94,172.32,0.23,0.58,0.28,255.99,0.7,0.66,0.27
inconsistent,rule_based,3,true,53.33,533,0,9,1,5,7,6.52,5,8,4,14.67,27.5,182.19,0.52,0.69,0.07,184.65,0.8,0.61,0.22
inconsistent,rule_based,4,false,60,600,32,8,0,5,5,5,5,5,0,48.2,80.33,146.91,0.33,0.56,0.17,202.5,0.67,0.69,0.39
inconsistent,rule_based,5,false,60,600,0.6,11,0,5,2,4.88,2,6,5,16.83,28.06,165.6,0.56,0.4,0.09,246.78,0.78,0.61,0.25
inconsistent,rule_based,6,true,56.08,560,0,13,1,5,1,4.44,1,5,4,30.42,54.23,152.16,0.26,0.79,0.25,162.74,0.85,0.8,0.23
inconsistent,rule_based,7,false,60,600,40.5,7,0,5,5,5,5,5,0,43.83,73.06,178.66,0.37,0.63,0.12,164.65,0.86,0.84,0.35
inconsistent,rule_based,8,false,60,600,4.3,12,0,5,1,4.22,1,5,4,29,48.33,177.49,0.61,0.6,0.26,205.39,0.82,0.79,0.21
inconsistent,rule_based,9,false,60,600,8,10,0,5,2,4.88,2,6,5,14.08,23.47,184.65,0.28,0.74,0.2,247.02,0.71,0.8,0.29
inconsistent,rule_based,10,false,60,600,1.3,11,0,5,3,5.2,3,6,4,21.67,36.11,141.39,0.42,0.8,0.1,217.39,0.7,0.65,0.22
inconsistent,rule_based,11,false,60,600,18,9,0,5,4,5.43,4,6,3,24.05,40.09,173.2,0.46,0.77,0.34,245.18,0.68,0.83,0.45
inconsistent,rule_based,12,false,60,600,7.9,11,0,5,1,4.17,1,5,4,25.92,43.2,181.91,0.59,0.84,0.07,214.03,0.94,0.76,0.39
inconsistent,rule_based,13,false,60,600,23.5,9,0,5,4,4.92,4,5,1,35.92,59.87,144.49,0.38,0.66,0.26,187.23,0.75,0.61,0.4
inconsistent,rule_based,14,true,52.42,524,0,10,1,5,6,6.38,5,8,5,9.51,18.14,137.54,0.64,0.47,0.37,205.48,0.86,0.74,0.26
inconsistent,rule_based,15,true,58.5,585,0,11,1,5,3,5.49,3,7,6,10.08,17.24,180.02,0.41,0.55,0.32,208.36,0.63,0.7,0.38
inconsistent,rule_based,16,true,48.67,486,0,12,1,5,3,4.75,3,5,2,22.57,46.37,166.29,0.35,0.69,0.32,212.3,0.83,0.81,0.34
inconsistent,rule_based,17,true,45.58,455,0,12,1,5,2,4.64,2,5,3,22.08,48.44,193.99,0.59,0.44,0.33,221.81,0.63,0.77,0.43
inconsistent,rule_based,18,false,60,600,7.9,11,0,5,3,4.75,3,5,2,38.43,64.06,164.17,0.64,0.84,0.1,219.37,0.86,0.78,0.27
inconsistent,rule_based,19,false,60,600,15.7,10,0,5,1,4.17,1,5,4,22.74,37.89,194.37,0.34,0.73,0.08,245.54,0.75,0.69,0.32
inconsistent,rule_based,20,false,60,600,6.5,11,0,5,2,4.5,2,5,3,22.49,37.49,154.67,0.49,0.45,0.38,249.53,0.69,0.84,0.35
inconsistent,rule_based,21,false,60,600,24.9,9,0,5,2,4.5,2,5,3,47.09,78.49,194.29,0.58,0.45,0.17,243.27,0.6,0.77,0.27
inconsistent,rule_based,22,false,60,600,15.7,10,0,5,0,2.92,0,5,5,18.08,30.13,167.67,0.29,0.73,0.28,219.36,0.63,0.77,0.42
inconsistent,rule_based,23,false,60,600,19.9,10,0,5,0,3.75,0,5,5,33.26,55.43,158,0.26,0.68,0.34,241.97,0.91,0.69,0.36
inconsistent,rule_based,24,false,60,600,3.6,12,0,5,1,4.17,1,5,4,25.6,42.66,158.96,0.63,0.77,0.24,242.42,0.72,0.69,0.31
inconsistent,rule_based,25,false,60,600,7.2,11,0,5,3,4.75,3,5,2,38.02,63.36,155.01,0.35,0.45,0.08,217.47,0.84,0.77,0.43
inconsistent,rule_based,26,true,58.67,586,0,12,1,5,4,4.94,4,5,1,40.64,69.27,145.57,0.46,0.43,0.12,147.76,0.82,0.75,0.32
inconsistent,rule_based,27,false,60,600,1.5,12,0,5,2,4.5,2,5,3,32.15,53.59,171.65,0.49,0.56,0.3,207.97,0.68,0.83,0.29
inconsistent,rule_based,28,false,60,600,8.6,11,0,5,0,2.92,0,5,5,17.08,28.46,140.3,0.36,0.61,0.09,152.54,0.79,0.7,0.25
inconsistent,rule_based,29,false,60,600,40.5,7,0,5,5,5,5,5,0,46.09,76.82,157.85,0.27,0.56,0.39,251.02,0.61,0.7,0.33
inconsistent,rule_based,30,false,60,600,49,6,0,5,5,5,5,5,0,46.68,77.8,187.62,0.3,0.65,0.22,199.18,0.79,0.75,0.42
