profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,initial_difficulty,final_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,target_range_percentage,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
skilled,rule_based,1,true,44.58,445,0,10,1,5,7,6.21,5,8,4,6.83,15.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,2,false,60,600,15,10,0,5,2,4.54,2,5,3,30.08,50.14,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,3,true,55.5,555,0,10,1,5,7,6.18,5,7,2,23.92,43.09,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,4,false,60,600,32,8,0,5,3,4.78,3,5,2,51.92,86.53,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,5,true,42.83,428,0,11,1,5,5,5.71,5,7,4,7.17,16.73,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,6,false,60,600,15,10,0,5,2,4.54,2,5,3,27.92,46.53,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,7,false,60,600,40.5,7,0,5,5,5,5,5,0,45.25,75.42,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,8,true,49.25,492,0,11,1,5,5,5.83,5,7,4,13,26.4,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,9,true,57.08,570,0,10,1,5,5,6.07,5,7,4,17,29.78,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,10,true,44.08,440,0,10,1,5,6,5.88,5,7,3,12.83,29.11,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,11,false,60,600,23.5,9,0,5,2,4.54,2,5,3,32.5,54.17,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,12,true,45.75,457,0,10,1,5,5,5.89,5,7,4,14.83,32.42,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,13,false,60,600,49,6,0,5,5,5,5,5,0,40.33,67.22,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,14,true,48.42,484,0,11,1,5,4,5.57,4,7,5,8.58,17.73,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,15,false,60,600,23.5,9,0,5,2,4.53,2,5,3,37.17,61.94,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,16,false,60,600,32,8,0,5,1,4.22,1,5,4,45.25,75.42,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,17,false,60,600,0.6,11,0,5,3,5.2,3,6,4,18,30,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,18,false,60,600,1,11,0,5,0,3.98,0,6,7,7.5,12.5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,19,true,39.25,392,0,10,1,5,6,5.74,5,7,3,4.75,12.1,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,20,true,58.25,582,0,11,1,5,4,5.83,4,7,5,17.67,30.33,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,21,false,60,600,32,8,0,5,0,3.81,0,5,5,42.42,70.69,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,22,true,52.92,529,0,9,1,5,7,6.71,5,9,6,5.75,10.87,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,23,true,52.58,525,0,10,1,5,6,6.09,5,7,3,22.05,41.94,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,24,false,60,600,32,8,0,5,2,4.5,2,5,3,52.67,87.78,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,25,false,60,600,32,8,0,5,0,3.75,0,5,5,51,85.01,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,26,true,54.58,545,0,11,1,5,5,5.46,5,6,2,22.83,41.83,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,27,false,60,600,23.5,9,0,5,1,4.17,1,5,4,31.17,51.94,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,28,false,60,600,32,8,0,5,3,4.76,3,5,2,48.78,81.31,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,29,true,57.33,573,0,10,1,5,6,6.18,5,7,3,24.58,42.88,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,rule_based,30,false,60,600,32,8,0,5,5,5,5,5,0,49.04,81.73,195,0.2,0.85,0.06,260,0.95,0.85,0.4
