profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty
intermediate,static,1,false,60,600,2.1,11,0,3
intermediate,static,2,true,38.08,380,0,12,1,3
intermediate,static,3,true,49.75,497,0,12,1,3
intermediate,static,4,true,37.83,378,0,12,1,3
intermediate,static,5,true,38.5,385,0,12,1,3
intermediate,static,6,false,60.08,600,37.7,7,0,3
intermediate,static,7,true,38,379,0,12,1,3
intermediate,static,8,false,60,600,11,10,0,3
intermediate,static,9,true,32.42,324,0,12,1,3
intermediate,static,10,true,27.92,279,0,12,1,3
intermediate,static,11,true,58.33,583,0,12,1,3
intermediate,static,12,false,60,600,2.1,11,0,3
intermediate,static,13,false,60.08,600,11,10,0,3
intermediate,static,14,true,53.75,537,0,12,1,3
intermediate,static,15,false,60,600,28.8,8,0,3
intermediate,static,16,true,51.5,515,0,12,1,3
intermediate,static,17,false,60,600,19.9,9,0,3
intermediate,static,18,true,54.83,548,0,12,1,3
intermediate,static,19,true,56.17,561,0,12,1,3
intermediate,static,20,true,52.42,524,0,12,1,3
intermediate,static,21,true,55.08,550,0,12,1,3
intermediate,static,22,true,41.58,415,0,12,1,3
intermediate,static,23,true,53.25,532,0,12,1,3
intermediate,static,24,true,55.75,557,0,12,1,3
intermediate,static,25,true,55.58,555,0,12,1,3
intermediate,static,26,false,60.08,600,19.9,9,0,3
intermediate,static,27,true,52.83,528,0,12,1,3
intermediate,static,28,true,47.42,474,0,12,1,3
intermediate,static,29,true,59.58,595,0,12,1,3
intermediate,static,30,true,51.92,519,0,12,1,3
