profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty
beginner,static,1,true,26.42,264,0,12,1,5
beginner,static,2,true,48.92,489,0,12,1,5
beginner,static,3,true,30.67,306,0,12,1,5
beginner,static,4,true,42.17,421,0,12,1,5
beginner,static,5,true,44,440,0,12,1,5
beginner,static,6,true,33.5,334,0,12,1,5
beginner,static,7,true,57.83,578,0,12,1,5
beginner,static,8,true,30.08,300,0,12,1,5
beginner,static,9,true,53.92,539,0,12,1,5
beginner,static,10,false,60,600,6.5,11,0,5
beginner,static,11,true,40.75,407,0,12,1,5
beginner,static,12,true,40.75,407,0,12,1,5
beginner,static,13,true,43.92,439,0,12,1,5
beginner,static,14,true,50.08,500,0,12,1,5
beginner,static,15,true,48.08,480,0,12,1,5
beginner,static,16,true,48.83,488,0,12,1,5
beginner,static,17,true,34,339,0,12,1,5
beginner,static,18,true,51.08,510,0,12,1,5
beginner,static,19,true,23.67,236,0,12,1,5
beginner,static,20,true,43.83,438,0,12,1,5
beginner,static,21,true,41.75,417,0,12,1,5
beginner,static,22,true,31.08,310,0,12,1,5
beginner,static,23,true,38.83,388,0,12,1,5
beginner,static,24,true,57,570,0,12,1,5
beginner,static,25,true,30.25,302,0,12,1,5
beginner,static,26,true,36.83,368,0,12,1,5
beginner,static,27,true,46.42,464,0,12,1,5
beginner,static,28,true,31.17,311,0,12,1,5
beginner,static,29,false,60,600,6.5,11,0,5
beginner,static,30,true,42.08,420,0,12,1,5
