profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight,initial_difficulty,average_difficulty,min_difficulty,max_difficulty,difficulty_changes,time_in_target_range,within_target_survival_range
inconsistent,static,1,False,60.0,600,40.5,7,0,5,163.99,0.37,0.35,0.38,158.05,0.75,0.65,0.25,5,5,5,5,0,,True
inconsistent,static,2,True,59.58,595,0.0,12,1,5,187.45,0.53,0.73,0.25,231.27,0.69,0.77,0.2,5,5,5,5,0,,True
inconsistent,static,3,True,56.08,560,0.0,12,1,5,173.21,0.52,0.42,0.22,179.35,0.74,0.79,0.32,5,5,5,5,0,,True
inconsistent,static,4,True,52.92,529,0.0,12,1,5,189.35,0.56,0.8,0.24,183.19,0.88,0.68,0.23,5,5,5,5,0,,True
inconsistent,static,5,True,59.58,595,0.0,12,1,5,168.1,0.28,0.6,0.28,148.77,0.94,0.63,0.43,5,5,5,5,0,,True
inconsistent,static,6,True,48.0,480,0.0,12,1,5,156.29,0.34,0.57,0.08,197.6,0.88,0.64,0.37,5,5,5,5,0,,True
inconsistent,static,7,True,55.33,553,0.0,12,1,5,186.09,0.38,0.5,0.23,182.7,0.92,0.75,0.37,5,5,5,5,0,,True
inconsistent,static,8,False,60.0,600,15.0,10,0,5,142.69,0.26,0.5,0.36,148.38,0.7,0.81,0.35,5,5,5,5,0,,True
inconsistent,static,9,False,60.0,600,15.0,10,0,5,142.12,0.39,0.5,0.1,174.35,0.87,0.69,0.36,5,5,5,5,0,,True
inconsistent,static,10,False,60.0,600,15.0,10,0,5,191.82,0.44,0.39,0.21,232.47,0.75,0.81,0.23,5,5,5,5,0,,True
inconsistent,static,11,False,60.0,600,6.5,11,0,5,187.04,0.42,0.83,0.39,146.79,0.74,0.8,0.21,5,5,5,5,0,,True
inconsistent,static,12,False,60.0,600,57.5,5,0,5,138.19,0.51,0.67,0.08,175.62,0.9,0.84,0.32,5,5,5,5,0,,True
inconsistent,static,13,True,50.17,501,0.0,12,1,5,192.34,0.62,0.7,0.31,146.08,0.74,0.65,0.33,5,5,5,5,0,,True
inconsistent,static,14,True,42.83,428,0.0,12,1,5,172.01,0.35,0.67,0.37,153.98,0.65,0.83,0.2,5,5,5,5,0,,True
inconsistent,static,15,True,55.75,557,0.0,12,1,5,165.39,0.54,0.48,0.32,194.93,0.65,0.77,0.27,5,5,5,5,0,,True
inconsistent,static,16,False,60.0,600,32.0,8,0,5,136.22,0.33,0.59,0.12,218.62,0.64,0.75,0.37,5,5,5,5,0,,True
inconsistent,static,17,False,60.0,600,32.0,8,0,5,138.54,0.24,0.42,0.14,229.03,0.82,0.75,0.22,5,5,5,5,0,,True
inconsistent,static,18,True,44.0,440,0.0,12,1,5,180.4,0.62,0.77,0.39,231.54,0.68,0.79,0.35,5,5,5,5,0,,True
inconsistent,static,19,False,60.0,600,15.0,10,0,5,179.47,0.48,0.78,0.25,178.07,0.86,0.77,0.28,5,5,5,5,0,,True
inconsistent,static,20,False,60.0,600,32.0,8,0,5,152.23,0.37,0.55,0.22,255.91,0.88,0.64,0.38,5,5,5,5,0,,True
inconsistent,static,21,False,60.0,600,6.5,11,0,5,187.22,0.3,0.63,0.4,251.97,0.84,0.72,0.36,5,5,5,5,0,,True
inconsistent,static,22,False,60.0,600,40.5,7,0,5,159.87,0.62,0.73,0.16,157.06,0.68,0.65,0.45,5,5,5,5,0,,True
inconsistent,static,23,False,60.0,600,32.0,8,0,5,141.6,0.36,0.54,0.14,257.37,0.73,0.79,0.36,5,5,5,5,0,,True
inconsistent,static,24,True,51.25,512,0.0,12,1,5,174.42,0.65,0.82,0.19,164.53,0.86,0.83,0.34,5,5,5,5,0,,True
inconsistent,static,25,False,60.0,600,49.0,6,0,5,169.49,0.57,0.84,0.32,219.07,0.8,0.84,0.44,5,5,5,5,0,,True
inconsistent,static,26,True,49.08,490,0.0,12,1,5,148.54,0.53,0.4,0.24,170.53,0.83,0.69,0.43,5,5,5,5,0,,True
inconsistent,static,27,False,60.0,600,57.5,5,0,5,188.65,0.48,0.72,0.17,222.87,0.84,0.76,0.25,5,5,5,5,0,,True
inconsistent,static,28,False,60.0,600,40.5,7,0,5,194.66,0.36,0.38,0.13,154.2,0.71,0.7,0.35,5,5,5,5,0,,True
inconsistent,static,29,True,41.33,413,0.0,12,1,5,155.97,0.43,0.35,0.2,189.91,0.72,0.71,0.33,5,5,5,5,0,,True
inconsistent,static,30,False,60.0,600,23.5,9,0,5,166.56,0.21,0.41,0.11,213.16,0.81,0.8,0.31,5,5,5,5,0,,True
