profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,static,1,False,60.0,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,2,True,57.33,573,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,3,True,55.67,556,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,4,False,60.0,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,5,False,60.0,600,15.0,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,6,False,60.0,600,15.0,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,7,False,60.0,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,8,True,47.33,473,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,9,True,46.42,464,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,10,False,60.0,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,11,True,50.83,508,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,12,False,60.0,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,13,True,50.5,505,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,14,False,60.0,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,15,False,60.0,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,16,False,60.0,600,15.0,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,17,False,60.0,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,18,True,54.58,545,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,19,False,60.0,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,20,False,60.0,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,21,False,60.0,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,22,False,60.0,600,49.0,6,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,23,True,42.33,423,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,24,True,36.08,360,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,25,False,60.0,600,32.0,8,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,26,False,60.0,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,27,True,57.42,574,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,28,False,60.0,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,29,False,60.0,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,30,True,49.33,493,0.0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
