profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
intermediate,static,1,false,60,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,2,true,57.33,573,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,3,true,55.67,556,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,4,false,60,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,5,false,60,600,15,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,6,false,60,600,15,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,7,false,60,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,8,true,47.33,473,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,9,true,46.42,464,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,10,false,60,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,11,true,50.83,508,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,12,false,60,600,23.5,9,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,13,true,50.5,505,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,14,false,60,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,15,false,60,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,16,false,60,600,15,10,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,17,false,60,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,18,true,54.58,545,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,19,false,60,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,20,false,60,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,21,false,60,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,22,false,60,600,49,6,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,23,true,42.33,423,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,24,true,36.08,360,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,25,false,60,600,32,8,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,26,false,60,600,57.5,5,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,27,true,57.42,574,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,28,false,60,600,6.5,11,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,29,false,60,600,40.5,7,0,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
intermediate,static,30,true,49.33,493,0,12,1,5,170,0.3,0.65,0.15,220,0.85,0.75,0.35
