profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty
intermediate,static,1,true,50.42,504,0,12,1,5
intermediate,static,2,true,40.17,401,0,12,1,5
intermediate,static,3,true,55.25,552,0,12,1,5
intermediate,static,4,false,60,600,32,8,0,5
intermediate,static,5,true,48.42,484,0,12,1,5
intermediate,static,6,false,60.08,600,23.5,9,0,5
intermediate,static,7,true,53.33,533,0,12,1,5
intermediate,static,8,false,60,600,15,10,0,5
intermediate,static,9,false,60,600,32,8,0,5
intermediate,static,10,false,60,600,15,10,0,5
intermediate,static,11,false,60.08,600,40.5,7,0,5
intermediate,static,12,true,53.83,538,0,12,1,5
intermediate,static,13,true,44.17,441,0,12,1,5
intermediate,static,14,true,41.92,419,0,12,1,5
intermediate,static,15,false,60.08,600,15,10,0,5
intermediate,static,16,false,60.08,600,23.5,9,0,5
intermediate,static,17,false,60,600,32,8,0,5
intermediate,static,18,true,50.83,508,0,12,1,5
intermediate,static,19,false,60.08,600,32,8,0,5
intermediate,static,20,false,60,600,6.5,11,0,5
intermediate,static,21,true,52.67,526,0,12,1,5
intermediate,static,22,true,51.08,510,0,12,1,5
intermediate,static,23,true,51.25,512,0,12,1,5
intermediate,static,24,false,60.08,600,6.5,11,0,5
intermediate,static,25,false,60,600,23.5,9,0,5
intermediate,static,26,true,53.67,536,0,12,1,5
intermediate,static,27,false,60,600,6.5,11,0,5
intermediate,static,28,false,60.08,600,6.5,11,0,5
intermediate,static,29,false,60,600,15,10,0,5
intermediate,static,30,true,47.92,479,0,12,1,5
