profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty
skilled,static,1,false,60,600,15,10,0,5
skilled,static,2,false,60,600,32,8,0,5
skilled,static,3,false,60,600,15,10,0,5
skilled,static,4,false,60,600,32,8,0,5
skilled,static,5,false,60,600,49,6,0,5
skilled,static,6,false,60,600,40.5,7,0,5
skilled,static,7,false,60,600,49,6,0,5
skilled,static,8,false,60,600,40.5,7,0,5
skilled,static,9,false,60,600,15,10,0,5
skilled,static,10,false,60,600,23.5,9,0,5
skilled,static,11,true,58.75,587,0,12,1,5
skilled,static,12,true,49.92,499,0,12,1,5
skilled,static,13,false,60,600,40.5,7,0,5
skilled,static,14,false,60,600,40.5,7,0,5
skilled,static,15,false,60,600,23.5,9,0,5
skilled,static,16,true,51,510,0,12,1,5
skilled,static,17,false,60,600,6.5,11,0,5
skilled,static,18,false,60,600,23.5,9,0,5
skilled,static,19,true,54.83,548,0,12,1,5
skilled,static,20,false,60,600,15,10,0,5
skilled,static,21,false,60,600,66,4,0,5
skilled,static,22,false,60,600,15,10,0,5
skilled,static,23,false,60,600,49,6,0,5
skilled,static,24,false,60,600,32,8,0,5
skilled,static,25,false,60,600,15,10,0,5
skilled,static,26,false,60,600,32,8,0,5
skilled,static,27,false,60,600,66,4,0,5
skilled,static,28,false,60,600,6.5,11,0,5
skilled,static,29,false,60,600,40.5,7,0,5
skilled,static,30,false,60,600,40.5,7,0,5
