profile_name,system_name,run_number,player_died,survival_time,score,health_remaining,hits_taken,deaths,final_difficulty,profile_speed,profile_reaction_time,profile_dodge_chance,profile_mistake_chance,profile_detection_radius,profile_dodge_duration,profile_strafe_weight,profile_retreat_weight
skilled,static,1,True,56.08,560,0.0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,2,False,60.0,600,23.5,9,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,3,False,60.0,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,4,False,60.0,600,32.0,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,5,False,60.0,600,32.0,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,6,False,60.0,601,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,7,False,60.0,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,8,False,60.0,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,9,False,60.0,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,10,False,60.0,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,11,False,60.0,600,23.5,9,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,12,False,60.0,600,32.0,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,13,True,47.5,475,0.0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,14,False,60.0,600,49.0,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,15,True,57.5,575,0.0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,16,False,60.0,600,66.0,4,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,17,False,60.0,600,15.0,10,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,18,False,60.0,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,19,False,60.0,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,20,False,60.0,600,6.5,11,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,21,False,60.0,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,22,False,60.0,600,49.0,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,23,False,60.0,600,40.5,7,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,24,False,60.0,600,32.0,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,25,False,60.0,600,66.0,4,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,26,True,58.5,585,0.0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,27,False,60.0,600,49.0,6,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,28,False,60.0,600,32.0,8,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,29,True,52.25,522,0.0,12,1,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
skilled,static,30,False,60.0,600,57.5,5,0,5,195,0.2,0.85,0.06,260,0.95,0.85,0.4
